Things Fall Apart;['Chinua Achebe'];['6346035'];1958;7085933;2787650;Hard;Bought;1983-07-09;2006-03-25;2
Fairy tales;['Hans Christian Andersen'];['3649757', '3335376'];1836;225006;1753352;Hard;Heritage;1942-02-17;2021-06-04;4
The Divine Comedy;['Dante Alighieri'];['4638606'];1315;556583;2243376;Hard;Heritage;1974-08-23;2021-10-17;4
The Epic Of Gilgamesh;['Unknown'];['5120668', '8070159', '532564', '9131648'];-1700;6252276;8918304;Hard;Bought;1937-12-19;2012-11-28;3
The Book Of Job;['Unknown'];['9975503', '5340106', '7040874', '9775543'];-600;1513271;2035892;Hard;Bought;1967-07-17;2002-09-20;3
One Thousand and One Nights;['Unknown'];['651429', '7330112', '7454353', '7327991', '8333848'];1200;1981036;7349553;Soft;Bought;1914-02-19;2010-06-16;1
Pride and Prejudice;['Jane Austen'];['5442844', '6182990', '8093782'];1813;8472625;2582711;Soft;Present;1952-12-23;2024-05-10;4
Molloy, Malone Dies, The Unnamable, the trilogy;['Samuel Beckett'];['7307620', '8045906', '4350221', '8502733', '7645843'];1952;8111604;4047781;Hard;Heritage;1918-06-21;2014-12-09;3
The Decameron;['Giovanni Boccaccio'];['3959834'];1351;8896416;3332783;Soft;Bought;1969-05-15;2013-02-16;2
Ficciones;['Jorge Luis Borges'];['541515', '4715369', '3434426', '4966119', '704246'];1965;5788843;7731888;Soft;Present;2000-01-18;2023-01-28;1
The Stranger;['Albert Camus'];['4006462'];1942;5667292;5107631;Soft;Heritage;1956-07-16;2011-04-19;3
Poems;['Paul Celan'];['8727105', '5308190', '8379157', '7400618'];1952;5586071;5670553;Soft;Bought;1958-11-15;2005-11-01;3
Don Quijote De La Mancha;['Miguel de Cervantes'];['4915402', '1310676'];1610;8492358;7548481;Hard;Present;1946-10-12;2006-10-05;2
The Canterbury Tales;['Geoffrey Chaucer'];['1063553', '3004813'];1450;9953858;5788564;Hard;Present;1968-02-03;2024-02-12;2
Stories;['Anton Chekhov'];['3613752', '6200638', '6675549', '7900275', '1608564'];1886;791502;4181250;Hard;Present;1984-12-20;2007-06-07;1
Nostromo;['Joseph Conrad'];['4425903', '2745390', '8833288', '4854510'];1904;5057880;8105349;Hard;Bought;1938-01-06;2004-08-24;3
Great Expectations;['Charles Dickens'];['169308'];1861;4786109;3245675;Hard;Present;1982-10-12;2001-04-12;5
Jacques the Fatalist;['Denis Diderot'];['5848795'];1796;87434;7089662;Hard;Bought;1946-10-11;2008-10-02;2
Crime and Punishment;['Fyodor Dostoevsky'];['7394230', '4643283', '6728419'];1866;3540153;1010011;Soft;Heritage;1965-11-12;2023-12-10;3
The Idiot;['Fyodor Dostoevsky'];['6219894'];1869;72526;9187906;Soft;Present;1997-02-23;2014-11-03;5
The Possessed;['Fyodor Dostoevsky'];['1877235', '6448671', '2144256', '1859855', '372187'];1872;2802375;5805190;Hard;Present;1915-02-25;2003-02-05;1
The Brothers Karamazov;['Fyodor Dostoevsky'];['443847', '1077649', '967917', '1198271', '1368972'];1880;3600994;9906912;Soft;Bought;1972-10-26;2018-04-11;5
Middlemarch;['George Eliot'];['653512', '8881569'];1871;2903845;1833278;Hard;Present;1914-01-18;2004-08-08;4
Invisible Man;['Ralph Ellison'];['3273597', '98106'];1952;1842489;3644846;Hard;Bought;1917-08-17;2004-09-21;4
Medea;['Euripides'];['8291399', '3224562'];-431;1144124;3680217;Hard;Present;1902-02-27;2019-02-08;1
Absalom, Absalom!;['William Faulkner'];['7669073', '8038587'];1936;1929771;4957606;Soft;Heritage;1924-08-22;2001-11-17;5
The Sound and the Fury;['William Faulkner'];['2019002'];1929;8855915;449568;Soft;Heritage;1995-04-12;2019-04-28;3
Madame Bovary;['Gustave Flaubert'];['2879273', '3878053', '5804005', '2893196', '73140'];1857;8005376;1166951;Hard;Heritage;1967-06-17;2012-12-25;5
Sentimental Education;['Gustave Flaubert'];['3642730', '595021'];1869;54174;8999552;Soft;Bought;1933-10-25;2002-01-25;2
Faust;['Johann Wolfgang von Goethe'];['2286007', '6099593', '1609529', '1829031', '9580316'];1832;65155;3086442;Hard;Present;1996-06-05;2020-06-14;2
Dead Souls;['Nikolai Gogol'];['2397658', '8548476', '3992190'];1842;4779398;6660036;Hard;Present;1917-05-04;2001-08-21;3
Hunger;['Knut Hamsun'];['6532133', '2793888', '194792', '2047597'];1890;6689191;9462608;Soft;Present;1995-07-12;2010-08-07;2
The Old Man and the Sea;['Ernest Hemingway'];['671790', '8525567', '9621251'];1952;5458782;2562020;Soft;Bought;1991-01-10;2005-12-20;4
Iliad;['Homer'];['2089695'];-735;6276829;7237308;Hard;Present;1943-09-12;2003-03-14;1
Odyssey;['Homer'];['4979024', '1472201', '7938135', '5530398'];-800;4531797;6444293;Soft;Bought;1968-08-21;2024-06-08;4
A Doll's House;['Henrik Ibsen'];['1928300', '517394', '9744353', '9651880'];1879;7160713;6931884;Hard;Bought;1966-06-17;2020-07-05;5
Ulysses;['James Joyce'];['3144447'];1922;4020272;2995323;Hard;Bought;1960-02-10;2018-03-10;2
Stories;['Franz Kafka'];['9906731', '674011', '7021409', '6755430', '3058144'];1924;5919891;8152185;Soft;Present;1901-12-23;2015-04-02;1
The Trial;['Franz Kafka'];['2196352', '2815646', '8177291'];1925;3996702;4175482;Hard;Present;1923-10-20;2009-06-17;2
The Castle;['Franz Kafka'];['3153008', '9452662', '9370885', '4481785'];1926;6171412;2533055;Hard;Heritage;1919-06-15;2001-02-04;5
The Sound of the Mountain;['Yasunari Kawabata'];['9753562', '9266116', '9746766'];1954;2006252;6505656;Hard;Present;1985-06-03;2017-07-02;3
Zorba the Greek;['Nikos Kazantzakis'];['9949899', '35894', '403031'];1946;1344739;3974445;Soft;Heritage;1924-02-05;2014-07-15;4
Sons and Lovers;['D. H. Lawrence'];['6354907', '9199983', '5406123', '1312835'];1913;7195838;4383055;Hard;Bought;1978-09-14;2002-03-18;1
Poems;['Giacomo Leopardi'];['4615080'];1818;7641884;371683;Hard;Heritage;1964-01-05;2006-06-16;3
The Golden Notebook;['Doris Lessing'];['4498688', '1878123'];1962;2736589;4368532;Soft;Bought;1940-11-08;2020-05-08;1
Pippi Longstocking;['Astrid Lindgren'];['4044459'];1945;495746;6804391;Hard;Heritage;1903-05-19;2006-10-27;2
Diary of a Madman;['Lu Xun'];['5360958', '7679797', '4922829', '8191842', '4154'];1918;5608546;3963217;Soft;Present;1904-08-08;2008-02-18;5
Children of Gebelawi;['Naguib Mahfouz'];['645875', '3700016'];1959;9775467;9527786;Hard;Heritage;1981-10-21;2005-01-24;3
Buddenbrooks;['Thomas Mann'];['9531251', '4981290', '4077361', '5319080'];1901;8823248;4524466;Hard;Bought;1923-06-01;2007-04-11;4
The Magic Mountain;['Thomas Mann'];['617481'];1924;2399789;7979725;Hard;Bought;1983-07-26;2019-11-17;3
Moby Dick;['Herman Melville'];['3237728'];1851;2702751;5201432;Soft;Present;1948-03-12;2023-04-06;5
Essays;['Michel de Montaigne'];['8100923', '248975', '9085576', '6557985'];1595;3833797;5534930;Soft;Bought;1943-05-05;2012-09-14;1
History;['Elsa Morante'];['8303325', '6305182'];1974;7494881;1532227;Soft;Present;1955-12-19;2021-04-19;4
Beloved;['Toni Morrison'];['5487489'];1987;7292587;6114900;Soft;Bought;1978-06-25;2022-12-16;1
The Tale of Genji;['Murasaki Shikibu'];['9554593', '8542878', '6700216'];1006;3373196;4025711;Soft;Bought;1987-09-09;2006-10-08;3
The Man Without Qualities;['Robert Musil'];['2049199'];1931;186652;800040;Soft;Present;1974-08-20;2014-11-28;5
Lolita;['Vladimir Nabokov'];['3863750', '9626306'];1955;6147787;6883345;Soft;Present;1945-04-23;2019-03-22;1
Nineteen Eighty-Four;['George Orwell'];['9863938', '6283687'];1949;7029515;6131187;Hard;Heritage;1942-09-03;2015-08-07;4
Metamorphoses;['Ovid'];['6206689', '1609532', '5789704', '3122292', '3684450'];100;8282675;3387653;Hard;Bought;1952-06-09;2004-04-04;2
The Book of Disquiet;['Fernando Pessoa'];['43173', '5104025', '2185510', '8251728'];1928;6686529;6689803;Soft;Present;1913-04-11;2007-11-23;1
Tales;['Edgar Allan Poe'];['8306790', '9604877', '4725841', '7049299', '51286'];1950;8381226;2629229;Hard;Bought;2000-09-05;2007-08-24;5
In Search of Lost Time;['Marcel Proust'];['1213711'];1920;5076300;3809430;Hard;Heritage;1945-12-16;2018-12-25;5
The Masnavi;['Rumi'];['1358557', '7486275', '7275524', '3260246', '6739658'];1236;7727321;6079188;Hard;Present;1909-10-13;2012-08-04;5
Midnight's Children;['Salman Rushdie'];['3857930'];1981;8258486;2779730;Hard;Present;1986-04-11;2013-05-21;4
Bostan;['Saadi'];['5592698', '9142790'];1257;2634898;5198246;Hard;Heritage;1977-05-26;2019-06-12;4
Season of Migration to the North;['Tayeb Salih'];['2514594'];1966;3105713;4727393;Soft;Heritage;1978-04-08;2018-08-08;4
Hamlet;['William Shakespeare'];['8443619', '336234', '3429714', '7741882', '4833663'];1603;6722527;5795401;Hard;Heritage;1953-02-06;2007-12-06;5
King Lear;['William Shakespeare'];['6668467', '9795197'];1608;5390676;1939188;Soft;Bought;1971-07-21;2008-08-04;5
Othello;['William Shakespeare'];['7022152', '1515454', '3768859', '2949422'];1609;6850684;6191492;Hard;Heritage;1944-02-18;2013-01-20;2
